orden,desde,desde_mes,desde_anio,desde_mes_nombre,vence,estado,situacion_actual,sujeto_obligado,ministerio_orbita,provincia,ingreso,motivo_del_reclamo,resumen,sintesis_de_resolucion,resultado_intimacion,n_expediente,informe_de_cierre
718,23/07/2020,7,2020,Julio,04/09/2020,Cerrado,Finalizado,ARN,Presidencia de la Nación,Río Negro,TAD,Denegatoria injustificada,Archivo,Archivo por reclamo duplicado,NA,EX-2020-47629971-   -APN-DNAIP#AAIP,NA
719,23/07/2020,7,2020,Julio,04/09/2020,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Buenos Aires,TAD,Silencio,No corresponde,No es SIP,NA,EX-2020-47407276-   -APN-DNAIP#AAIP,NA
720,23/07/2020,7,2020,Julio,04/09/2020,Cerrado,Finalizado,ARN,Presidencia de la Nación,Río Negro,TAD,Denegatoria injustificada,Archivo,Archivo por reclamo duplicado,NA,EX-2020-47628435-   -APN-DNAIP#AAIP,NA
721,23/07/2020,7,2020,Julio,04/09/2020,Cerrado,Finalizado,ARN,Presidencia de la Nación,Río Negro,TAD,Denegatoria injustificada,Archivo,Archivo por reclamo duplicado,NA,EX-2020-47158225-   -APN-DNAIP#AAIP,NA
723,26/07/2020,7,2020,Julio,07/09/2020,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Buenos Aires,TAD,Denegatoria injustificada,No corresponde,SIP en plazo de respuesta,NA,EX-2020-48110602-   -APN-DNAIP#AAIP,NA
724,26/07/2020,7,2020,Julio,07/09/2020,Cerrado,Finalizado,Ministerio de Cultura,Ministerio de Cultura,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-48104010-   -APN-DNAIP#AAIP,NA
725,27/07/2020,7,2020,Julio,08/09/2020,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-48447036-   -APN-DNAIP#AAIP,NA
726,27/07/2020,7,2020,Julio,08/09/2020,Cerrado,Finalizado,Junta de Seguridad en el Transporte,Ministerio de Transporte,Santa Fe,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-48577070-   -APN-DNAIP#AAIP,NA
727,27/07/2020,7,2020,Julio,08/09/2020,Cerrado,Finalizado,Ministerio de Cultura,Ministerio de Cultura,Buenos Aires,TAD,Silencio,Archivo,Archivo por reclamo duplicado,NA,EX-2020-48306723-   -APN-DNAIP#AAIP,NA
728,28/07/2020,7,2020,Julio,09/09/2020,Cerrado,Finalizado,ARN,Presidencia de la Nación,Río Negro,E-MAIL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-48739955-   -APN-DNAIP#AAIP,NA
729,29/07/2020,7,2020,Julio,10/09/2020,Cerrado,Finalizado,RTA,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-49361765-   -APN-DNAIP#AAIP,NA
730,29/07/2020,7,2020,Julio,10/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-49259516-   -APN-DNAIP#AAIP,NA
731,29/07/2020,7,2020,Julio,10/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-49258233-   -APN-DNAIP#AAIP,NA
732,29/07/2020,7,2020,Julio,10/09/2020,Cerrado,Finalizado,BCRA,Ministerio de Economía,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-49353679-   -APN-DNAIP#AAIP,NA
733,30/07/2020,7,2020,Julio,11/09/2020,Cerrado,Finalizado,Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Silencio,No corresponde,No es SIP,NA,EX-2020-49514567-   -APN-DNAIP#AAIP,NA
734,30/07/2020,7,2020,Julio,11/09/2020,Cerrado,Finalizado,CONICET,"Ministerio de Ciencia, Tecnología e Innovación",Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-49649828-   -APN-DNAIP#AAIP,NA
735,30/07/2020,7,2020,Julio,11/09/2020,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-49439881-   -APN-DNAIP#AAIP,NA
736,31/07/2020,7,2020,Julio,14/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-49771424-   -APN-DNAIP#AAIP,NA
737,31/07/2020,7,2020,Julio,14/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-49769907-   -APN-DNAIP#AAIP,NA
738,31/07/2020,7,2020,Julio,14/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por reclamo duplicado,NA,EX-2020-49772716-   -APN-DNAIP#AAIP,NA
739,01/08/2020,8,2020,Agosto,14/09/2020,Cerrado,Finalizado,Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Silencio,No corresponde,No es SIP,NA,EX-2020-50167039-   -APN-DNAIP#AAIP,NA
740,03/08/2020,8,2020,Agosto,15/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-50511861-   -APN-DNAIP#AAIP,NA
741,04/08/2020,8,2020,Agosto,16/09/2020,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Córdoba,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-50711844-   -APN-DNAIP#AAIP,NA
742,04/08/2020,8,2020,Agosto,16/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por reclamo duplicado,NA,EX-2020-51021955-   -APN-DNAIP#AAIP,NA
743,05/08/2020,8,2020,Agosto,17/09/2020,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Chaco,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2020-51436830-   -APN-DNAIP#AAIP,NA
744,05/08/2020,8,2020,Agosto,17/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-51152055-   -APN-DNAIP#AAIP,NA
745,05/08/2020,8,2020,Agosto,17/09/2020,Cerrado,Finalizado,Ministerio de Desarrollo Territorial y Hábitat,Ministerio de Desarrollo Territorial y Hábitat,Ciudad Autónoma de Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por reclamo duplicado,NA,EX-2020-51160917-   -APN-DNAIP#AAIP,NA
746,06/08/2020,8,2020,Agosto,18/09/2020,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-51502209-   -APN-DNAIP#AAIP,NA
747,06/08/2020,8,2020,Agosto,18/09/2020,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-51497724-   -APN-DNAIP#AAIP,NA
750,07/08/2020,8,2020,Agosto,21/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-51846293-   -APN-DNAIP#AAIP,NA
752,11/08/2020,8,2020,Agosto,23/09/2020,Cerrado,Finalizado,Comisión Nacional de Energía Atómica(CNEA),Ministerio de Economía,Río Negro,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-52819439-   -APN-DNAIP#AAIP,NA
753,12/08/2020,8,2020,Agosto,24/09/2020,Cerrado,Finalizado,BCRA,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2020-53023626- -APN-DNAIP#AAIP,NA
754,12/08/2020,8,2020,Agosto,24/09/2020,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-53137620- -APN-DNAIP#AAIP,NA
755,12/08/2020,8,2020,Agosto,24/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-53128977-   -APN-DNAIP#AAIP,NA
756,12/08/2020,8,2020,Agosto,24/09/2020,Cerrado,Finalizado,ARN,Presidencia de la Nación,Río Negro,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-53178350-   -APN-DNAIP#AAIP,NA
757,18/08/2020,8,2020,Agosto,29/09/2020,Cerrado,Finalizado,ENARD,Ministerio de Turismo y Deportes,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2020-53974775-   -APN-DNAIP#AAIP,NA
758,18/08/2020,8,2020,Agosto,29/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-54283537-   -APN-DNAIP#AAIP,NA
759,18/08/2020,8,2020,Agosto,29/09/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-54282975-   -APN-DNAIP#AAIP,NA
761,20/08/2020,8,2020,Agosto,01/10/2020,Cerrado,Finalizado,Ministerio de Desarrollo Territorial y Hábitat,Ministerio de Desarrollo Territorial y Hábitat,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-54943988-   -APN-DNAIP#AAIP,NA
762,20/08/2020,8,2020,Agosto,01/10/2020,Cerrado,Finalizado,Superintendencia de Servicios de Salud,Ministerio de Salud,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-54971681-   -APN-DNAIP#AAIP,NA
764,21/08/2020,8,2020,Agosto,02/10/2020,Cerrado,Finalizado,EANA,Ministerio de Transporte,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-55092105-   -APN-DNAIP#AAIP,NA
769,24/08/2020,8,2020,Agosto,05/10/2020,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-55752882- -APN-DNAIP#AAIP,NA
770,25/08/2020,8,2020,Agosto,06/10/2020,Cerrado,Finalizado,CAMMESA,CAMMESA,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2020-56040933-   -APN-DNAIP#AAIP,NA
771,25/08/2020,8,2020,Agosto,06/10/2020,Cerrado,Finalizado,Aerolineas Argentinas y Austral,Ministerio de Transporte,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-55951185-   -APN-DNAIP#AAIP,NA
773,26/08/2020,8,2020,Agosto,07/10/2020,Cerrado,Finalizado,Aerolineas Argentinas y Austral,Ministerio de Transporte,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-56337601-   -APN-DNAIP#AAIP,NA
774,26/08/2020,8,2020,Agosto,07/10/2020,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2020-56219345-   -APN-DNAIP#AAIP,NA
775,26/08/2020,8,2020,Agosto,07/10/2020,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-56325083-   -APN-DNAIP#AAIP,NA
776,28/08/2020,8,2020,Agosto,09/10/2020,Cerrado,Finalizado,Ministerio de Cultura,Ministerio de Cultura,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-57087035- -APN-DNAIP#AAIP,NA
777,31/08/2020,8,2020,Agosto,13/10/2020,Cerrado,Finalizado,Ministerio de Cultura,Ministerio de Cultura,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,No corresponde,No es SIP,NA,EX-2020-57443234-   -APN-DNAIP#AAIP,NA
779,01/09/2020,9,2020,Septiembre,14/10/2020,Cerrado,Finalizado,Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-58021499-   -APN-DNAIP#AAIP,NA
781,03/09/2020,9,2020,Septiembre,16/10/2020,Cerrado,Finalizado,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal",Ministerio de Seguridad,Buenos Aires,TAD,Silencio,No corresponde,No es SIP,NA,EX-2020-58673469-   -APN-DNAIP#AAIP,NA
783,05/09/2020,9,2020,Septiembre,19/10/2020,Cerrado,Finalizado,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,Santa Fe,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-59059862- -APN-DNAIP#AAIP,NA
784,06/09/2020,9,2020,Septiembre,19/10/2020,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-59105595-   -APN-DNAIP#AAIP,NA
785,07/09/2020,9,2020,Septiembre,20/10/2020,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-59215167-   -APN-DNAIP#AAIP,NA
787,08/09/2020,9,2020,Septiembre,21/10/2020,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-59840714-   -APN-DNAIP#AAIP,NA
788,08/09/2020,9,2020,Septiembre,21/10/2020,Cerrado,Finalizado,ACUMAR,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-59493383-   -APN-DNAIP#AAIP,NA
789,08/09/2020,9,2020,Septiembre,21/10/2020,Cerrado,Finalizado,IEASA,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-59469084-   -APN-DNAIP#AAIP,NA
790,10/09/2020,9,2020,Septiembre,23/10/2020,Cerrado,Finalizado,Ministerio de Desarrollo Territorial y Hábitat,Ministerio de Desarrollo Territorial y Hábitat,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-60266765-   -APN-DNAIP#AAIP,NA
791,11/09/2020,9,2020,Septiembre,26/10/2020,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-60703403- -APN-DNAIP#AAIP,NA
792,12/09/2020,9,2020,Septiembre,26/10/2020,Cerrado,Finalizado,ENOHSA,Ministerio de Obras Públicas,Santa Fe,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-60912963-   -APN-DNAIP#AAIP,NA
795,14/09/2020,9,2020,Septiembre,27/10/2020,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Archivo,SIP en plazo de respuesta,NA,EX-2020-61031918-   -APN-DNAIP#AAIP,NA
796,15/09/2020,9,2020,Septiembre,28/10/2020,Cerrado,Finalizado,Nación Servicios S.A.,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-61502933-   -APN-DNAIP#AAIP,NA
797,15/09/2020,9,2020,Septiembre,28/10/2020,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-61682984-   -APN-DNAIP#AAIP,NA
798,15/09/2020,9,2020,Septiembre,28/10/2020,Cerrado,Finalizado,BNA,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-61515197-   -APN-DNAIP#AAIP,NA
799,15/09/2020,9,2020,Septiembre,28/10/2020,Cerrado,Finalizado,Nacion Seguros S.A.,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-61127579-   -APN-DNAIP#AAIP,NA
800,15/09/2020,9,2020,Septiembre,28/10/2020,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Desistimiento,Desistimiento,NA,EX-2020-61687031-   -APN-DNAIP#AAIP,NA
801,18/09/2020,9,2020,Septiembre,02/11/2020,Cerrado,Finalizado,INSSJP,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2020-62548631-   -APN-DNAIP#AAIP,NA
802,21/09/2020,9,2020,Septiembre,03/11/2020,Cerrado,Finalizado,Aerolineas Argentinas y Austral,Ministerio de Transporte,Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-62939774-   -APN-DNAIP#AAIP,NA
803,21/09/2020,9,2020,Septiembre,03/11/2020,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-62889980-   -APN-DNAIP#AAIP,NA
804,21/09/2020,9,2020,Septiembre,03/11/2020,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Buenos Aires,E-MAIL,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-62929281-   -APN-DNAIP#AAIP,NA
805,21/09/2020,9,2020,Septiembre,03/11/2020,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-62946691-   -APN-DNAIP#AAIP,NA
806,22/09/2020,9,2020,Septiembre,04/11/2020,Cerrado,Finalizado,Instituto Nacional del Agua,Ministerio de Obras Públicas,Buenos Aires,TAD,No aplica,No corresponde,No es SIP,NA,EX-2020-63558089-   -APN-DNAIP#AAIP,NA
807,25/09/2020,9,2020,Septiembre,09/11/2020,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-64342248- -APN-DNAIP#AAIP,NA
810,30/09/2020,9,2020,Septiembre,12/11/2020,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-65803095-   -APN-DNAIP#AAIP,NA
812,05/10/2020,10,2020,Octubre,17/11/2020,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2020-66865229-   -APN-DNAIP#AAIP,NA
814,06/10/2020,10,2020,Octubre,18/11/2020,Cerrado,Finalizado,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2020-67223103-   -APN-DNAIP#AAIP,NA
815,06/10/2020,10,2020,Octubre,18/11/2020,Cerrado,Finalizado,Ministerio del Interior,Ministerio del Interior,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-67338181-   -APN-DNAIP#AAIP,NA
816,06/10/2020,10,2020,Octubre,18/11/2020,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-67330978- -APN-DNAIP#AAIP,NA
819,07/10/2020,10,2020,Octubre,19/11/2020,Cerrado,Finalizado,Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-67338966-   -APN-DNAIP#AAIP,NA
820,09/10/2020,10,2020,Octubre,24/11/2020,Cerrado,Finalizado,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-68209456-   -APN-DNAIP#AAIP,NA
821,09/10/2020,10,2020,Octubre,24/11/2020,Cerrado,Finalizado,Dirección Nacional de Migraciones,Ministerio de Interior,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-68026492-   -APN-DNAIP#AAIP,NA
822,14/10/2020,10,2020,Octubre,26/11/2020,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2020-69328670-   -APN-DNAIP#AAIP,NA
824,16/10/2020,10,2020,Octubre,30/11/2020,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-69890164-   -APN-DNAIP#AAIP,NA
825,16/10/2020,10,2020,Octubre,30/11/2020,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-70046091-   -APN-DNAIP#AAIP,NA
826,16/10/2020,10,2020,Octubre,30/11/2020,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-70045563-   -APN-DNAIP#AAIP,NA
827,16/10/2020,10,2020,Octubre,30/11/2020,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-70044655-   -APN-DNAIP#AAIP,NA
828,16/10/2020,10,2020,Octubre,30/11/2020,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Silencio,Archivo,Acredita respuesta,NA,EX-2020-70045134-   -APN-DNAIP#AAIP,NA
831,20/10/2020,10,2020,Octubre,02/12/2020,Cerrado,Finalizado,AFIP,Ministerio de Economía,Córdoba,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-70558238-   -APN-DNAIP#AAIP,NA
832,20/10/2020,10,2020,Octubre,02/12/2020,Cerrado,Finalizado,Registro Nacional de las Personas,Ministerio de Interior,Santa Fe,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-70725806-   -APN-DNAIP#AAIP,NA
833,21/10/2020,10,2020,Octubre,03/12/2020,Cerrado,Finalizado,Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-71122659-   -APN-DNAIP#AAIP,NA
835,21/10/2020,10,2020,Octubre,03/12/2020,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2020-71010621-   -APN-DNAIP#AAIP,NA
836,22/10/2020,10,2020,Octubre,04/12/2020,Cerrado,Finalizado,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-71526169-   -APN-DNAIP#AAIP,NA
839,26/10/2020,10,2020,Octubre,10/12/2020,Cerrado,Finalizado,INAI,Ministerio de Justicia y Derechos Humanos,Buenos Aires,E-MAIL,Silencio,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2020-73970456-   -APN-DNAIP#AAIP,NA
840,26/10/2020,10,2020,Octubre,10/12/2020,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-72150384-   -APN-DNAIP#AAIP,NA
841,28/10/2020,10,2020,Octubre,14/12/2020,Cerrado,Finalizado,INTA,Ministerio de Economía,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-73180842-   -APN-DNAIP#AAIP,NA
842,28/10/2020,10,2020,Octubre,14/12/2020,Cerrado,Finalizado,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,Santa Fe,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-73085219-   -APN-DNAIP#AAIP,NA
843,30/10/2020,10,2020,Octubre,16/12/2020,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,Cumplimiento,EX-2020-73953483-   -APN-DNAIP#AAIP,NA
844,30/10/2020,10,2020,Octubre,16/12/2020,Cerrado,Finalizado,Registro Nacional de las Personas,Ministerio de Interior,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2020-73840426-   -APN-DNAIP#AAIP,NA
848,03/11/2020,11,2020,Noviembre,18/12/2020,Cerrado,Finalizado,AFIP,Ministerio de Economía,Buenos Aires,E-MAIL,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2020-75518317-   -APN-DNAIP#AAIP,NA
